DESCRIPTION,FAMILY_ID,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir
OG0000257,213,1,4,1,17
OG0000258,214,1,1,5,3
OG0000259,215,6,1,9,1
OG0000261,216,1,1,4,4
OG0000263,217,5,9,8,2
OG0000264,218,2,11,5,2
OG0000266,219,1,6,2,1
OG0000267,220,7,10,7,7
OG0000268,221,14,0,3,2
OG0000269,222,8,7,4,1
OG0000270,223,8,6,5,7
OG0000271,224,9,4,5,1
OG0000272,225,8,7,2,6
OG0000273,226,1,25,2,1
OG0000274,227,9,14,6,2
OG0000275,228,9,7,10,5
OG0000276,229,3,2,1,18
OG0000277,230,5,4,0,5
OG0000278,231,8,1,8,6
OG0000279,232,10,1,9,4
OG0000280,233,1,1,1,3
OG0000281,234,1,6,5,7
OG0000282,235,4,11,5,1
OG0000283,236,4,16,4,2
OG0000284,237,0,0,1,29
OG0000287,238,4,5,4,2
OG0000288,239,12,4,6,8
OG0000289,240,11,6,4,8
OG0000290,241,3,7,5,3
OG0000291,242,4,7,5,11
OG0000292,243,1,0,1,15
OG0000293,244,0,28,0,1
OG0000294,245,1,7,0,4
OG0000297,246,0,2,2,4
OG0000298,247,0,10,10,1
OG0000299,248,11,2,7,1
OG0000300,249,5,0,5,1
OG0000301,250,4,14,2,6
OG0000302,251,7,3,10,2
OG0000303,252,2,10,3,2
OG0000304,253,15,5,6,3
OG0000305,254,4,2,8,1
OG0000306,255,2,2,4,8
OG0000307,256,1,7,5,1
OG0000308,257,2,3,4,7
OG0000309,258,15,7,2,2
OG0000310,259,6,2,3,10
OG0000311,260,3,6,1,2
OG0000312,261,1,20,1,2
OG0000313,262,5,4,3,2
OG0000314,263,1,1,2,13
OG0000315,264,3,8,8,3
OG0000316,265,2,2,2,13
OG0000317,266,2,0,3,18
OG0000318,267,1,10,3,4
OG0000319,268,13,0,7,2
OG0000320,269,2,6,8,1
OG0000321,270,7,4,7,6
OG0000322,271,3,19,3,1
OG0000323,272,1,1,1,2
OG0000324,273,10,6,5,7
OG0000325,274,7,10,6,5
OG0000326,275,4,2,3,15
OG0000327,276,2,11,0,1
OG0000328,277,3,3,0,16
OG0000330,279,1,5,1,5
OG0000331,280,1,6,1,1
OG0000332,281,7,6,4,7
OG0000333,282,5,5,3,1
OG0000334,283,13,2,11,1
OG0000335,284,1,3,5,8
OG0000336,285,1,12,4,1
OG0000337,286,1,5,1,1
OG0000338,287,2,4,6,7
OG0000340,288,8,12,3,1
OG0000341,289,3,4,4,1
OG0000342,290,2,6,3,3
OG0000344,291,8,6,6,2
OG0000345,292,3,5,15,1
OG0000346,293,15,3,5,1
OG0000347,294,4,5,3,3
OG0000348,295,6,8,5,5
OG0000349,296,1,1,1,1
OG0000350,297,0,25,1,1
OG0000351,298,1,2,2,1
OG0000352,299,4,4,3,10
OG0000353,300,1,1,1,23
OG0000354,301,8,9,7,2
OG0000355,302,6,5,9,5
OG0000356,303,2,1,2,15
OG0000357,304,1,8,1,1
OG0000358,305,1,4,6,1
OG0000359,306,1,24,1,1
OG0000360,307,1,6,3,11
OG0000361,308,3,2,2,1
OG0000362,309,2,1,1,4
OG0000363,310,4,10,3,10
OG0000364,311,5,6,0,6
OG0000365,312,2,17,0,2
OG0000366,313,2,8,0,2
OG0000367,314,4,6,10,2
OG0000369,315,1,5,1,2
OG0000370,316,4,5,13,1
OG0000371,317,11,3,2,1
OG0000372,318,6,2,3,1
OG0000374,319,2,0,2,8
OG0000375,320,17,1,2,1
OG0000376,321,0,2,2,11
OG0000377,322,4,12,2,6
OG0000378,323,16,2,4,1
OG0000379,324,1,21,1,1
OG0000380,325,10,7,4,4
OG0000381,326,1,6,1,7
OG0000382,327,5,3,2,13
OG0000383,328,2,3,2,17
OG0000384,329,10,9,3,4
OG0000385,330,1,6,3,7
OG0000386,331,8,2,8,7
OG0000387,332,1,1,1,1
OG0000388,333,3,1,1,17
OG0000389,334,11,5,5,4
OG0000390,335,7,3,7,9
OG0000391,336,2,9,2,9
OG0000392,337,9,9,2,2
OG0000393,338,1,12,1,1
OG0000394,339,0,3,0,1
OG0000396,340,8,2,0,1
OG0000397,341,1,15,0,3
OG0000398,342,0,19,0,2
OG0000399,343,1,18,0,1
OG0000400,344,8,10,0,3
OG0000401,345,1,4,3,1
OG0000402,346,8,2,8,5
OG0000403,347,5,3,1,1
OG0000404,348,10,1,2,3
OG0000405,349,4,1,5,5
OG0000406,350,8,2,11,2
OG0000407,351,3,2,5,8
OG0000408,352,4,5,5,11
