DESCRIPTION,FAMILY_ID,Arabidopsis,Cacao,Peach,Castor bean,Cassava,Poplar,Rice,Brachypodium,Sorghum,Setaria,Banana,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir,Moss
OG0000452,80,8,6,6,5,9,11,8,7,6,5,18,7,8,4,4,2
OG0000454,81,6,6,9,6,10,13,7,7,10,11,17,1,2,2,6,1
OG0000455,82,7,7,7,7,8,10,4,6,6,5,9,6,4,2,13,2
OG0000457,83,4,4,5,4,8,6,6,5,6,7,9,13,16,7,13,3
OG0000462,84,3,3,6,7,7,9,9,6,6,7,4,11,8,6,21,0
OG0000464,85,5,5,4,3,7,9,8,5,6,6,7,5,7,6,4,10
OG0000465,86,11,6,7,8,10,12,6,5,5,6,17,6,7,6,6,4
OG0000467,87,5,5,4,5,8,8,6,6,6,5,10,5,11,3,6,3
OG0000468,88,6,7,6,5,7,8,4,4,5,4,4,5,12,4,5,15
OG0000472,89,7,5,4,5,6,8,7,6,6,6,10,9,6,3,7,2
OG0000474,90,8,8,10,6,8,12,9,10,11,12,9,3,3,4,3,4
OG0000476,91,7,5,5,6,8,9,9,8,9,9,12,1,4,5,1,2
OG0000480,92,5,5,5,5,5,9,6,6,6,5,11,4,1,3,8,3
OG0000481,93,8,5,5,5,4,9,8,8,8,9,10,6,9,3,8,3
OG0000484,94,6,5,5,4,6,7,6,6,6,7,13,17,3,3,3,5
OG0000485,95,7,6,12,6,9,6,7,6,10,10,6,7,4,6,4,7
OG0000486,96,7,5,5,6,10,8,8,9,8,8,16,3,3,5,4,7
OG0000491,97,9,6,8,7,11,9,5,5,8,11,7,4,7,3,5,5
OG0000493,98,7,5,6,5,8,11,6,6,6,7,18,4,9,5,4,5
OG0000494,99,7,6,6,5,10,10,8,8,9,9,6,5,5,3,3,3
OG0000499,100,6,8,14,6,9,7,9,8,12,12,6,5,3,3,4,1
OG0000500,101,7,7,6,7,9,12,10,9,9,9,13,4,5,4,1,4
OG0000501,102,8,7,7,7,10,13,7,7,7,8,11,5,3,3,5,2
OG0000503,103,8,5,5,5,7,9,10,9,10,10,9,1,2,2,2,5
OG0000505,104,3,3,3,3,4,6,3,4,4,5,4,1,1,4,1,2
