DESCRIPTION,FAMILY_ID,Arabidopsis,Cacao,Peach,Castor bean,Cassava,Poplar,Rice,Brachypodium,Sorghum,Setaria,Banana,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir,Moss
OG0003441,2435,1,1,1,1,1,1,1,1,1,1,2,1,1,1,7,1
OG0003442,2436,1,2,2,2,4,3,1,1,1,1,3,2,4,1,1,2
OG0003443,2437,1,1,1,1,2,2,1,1,1,1,3,2,1,2,2,3
OG0003444,2438,1,1,1,1,1,3,1,2,2,4,2,1,2,4,0,5
OG0003445,2439,1,1,0,1,1,2,2,1,1,0,1,5,3,4,5,2
OG0003446,2440,1,2,1,1,2,1,2,1,2,2,4,4,1,5,2,0
OG0003447,2441,1,1,1,2,2,3,1,2,2,2,3,2,1,2,2,4
OG0003459,2442,3,2,2,2,1,3,2,2,2,2,4,1,1,3,1,3
OG0003460,2443,4,2,2,2,3,3,2,2,2,2,4,1,1,1,1,0
OG0003461,2444,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,2
OG0003462,2445,2,3,3,1,4,3,5,2,2,2,3,0,0,1,0,2
OG0003463,2446,2,1,2,1,1,2,2,2,2,2,3,3,1,5,2,1
OG0003464,2447,1,1,1,2,1,2,1,1,1,1,2,2,1,2,4,2
OG0003465,2448,3,2,1,1,3,4,1,1,1,1,3,1,1,1,1,1
OG0003466,2449,2,3,3,3,5,4,2,2,2,1,0,4,0,1,0,0
OG0003467,2450,3,1,2,2,3,4,3,2,2,3,4,1,0,1,1,1
OG0003468,2451,1,1,1,1,2,2,1,1,1,1,2,3,4,4,4,2
OG0003469,2452,2,2,3,2,1,4,1,2,2,2,3,2,2,2,2,1
OG0003470,2453,2,2,2,1,2,4,1,1,1,2,3,3,3,4,0,2
OG0003471,2454,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1
OG0003472,2455,3,2,2,2,2,4,2,2,2,2,3,1,2,2,1,2
OG0003473,2456,1,2,1,4,2,3,1,1,1,1,2,2,1,1,1,5
OG0003475,2457,2,1,3,3,3,7,2,2,1,2,1,2,1,1,0,0
OG0003476,2458,2,2,2,2,2,4,1,1,1,1,4,2,2,2,3,3
OG0003477,2459,6,1,1,1,1,1,1,1,1,1,5,2,2,4,3,1
OG0003479,2460,3,1,1,1,2,2,2,2,2,2,3,2,3,2,3,3
OG0003480,2461,2,2,3,2,4,3,1,1,2,2,3,3,2,2,1,1
OG0003481,2462,1,2,2,2,2,4,2,1,2,2,2,2,2,1,3,2
OG0003482,2463,1,1,1,1,1,2,1,1,1,1,1,6,4,4,5,3
OG0003483,2464,3,2,2,2,3,4,2,2,2,1,5,1,1,1,2,0
OG0003484,2465,2,2,2,2,2,3,2,2,2,2,2,1,1,2,1,2
OG0003485,2466,4,2,2,1,2,3,3,2,3,4,2,1,1,1,1,2
OG0003486,2467,3,1,1,1,2,2,4,4,4,4,7,0,0,0,0,0
OG0003487,2468,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,3
OG0003488,2469,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,3
OG0003489,2470,5,2,3,3,6,5,0,2,2,3,0,1,0,1,0,0
OG0003490,2471,2,2,2,1,3,4,2,2,2,2,3,1,1,2,2,3
OG0003491,2472,1,3,3,3,3,4,1,1,1,1,1,1,1,3,1,2
OG0003492,2473,5,2,2,2,3,4,2,2,2,2,5,1,1,1,0,0
OG0003493,2474,1,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2
OG0003494,2475,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,3
OG0003495,2476,8,2,1,2,2,3,2,2,2,2,1,0,1,1,2,2
OG0003496,2477,1,4,2,3,5,3,1,1,1,1,2,3,1,1,2,2
OG0003497,2478,1,1,1,1,2,2,0,0,0,0,2,1,1,1,12,0
OG0003498,2479,3,3,3,3,7,6,2,2,2,2,1,0,0,0,0,0
OG0003499,2480,3,1,1,1,2,3,3,3,3,3,2,1,1,1,2,2
OG0003500,2481,1,1,1,1,1,1,1,1,1,1,1,4,3,2,2,2
OG0003501,2482,1,1,2,1,1,1,1,2,1,1,1,1,2,2,3,1
OG0003502,2483,4,2,1,2,4,4,2,2,2,2,6,1,1,0,1,0
OG0003503,2484,1,1,1,1,1,2,3,2,1,2,1,1,1,1,4,1
OG0003504,2485,1,2,1,2,1,3,2,1,2,2,7,0,0,7,1,1
OG0003505,2486,2,1,1,3,4,1,1,2,2,3,2,1,0,5,0,1
OG0003506,2487,3,2,2,4,3,1,2,2,2,2,2,1,2,2,2,1
OG0003507,2488,1,1,2,2,1,2,1,1,1,1,1,1,1,1,4,2
OG0003508,2489,2,3,1,1,1,5,1,2,1,2,2,1,1,2,1,1
OG0003509,2490,2,2,4,1,3,4,1,2,1,1,3,1,3,1,1,1
OG0003510,2491,3,2,2,2,1,3,2,2,2,2,2,3,1,2,2,2
OG0003511,2492,2,2,4,3,1,2,2,2,2,2,2,2,2,2,0,3
OG0003512,2493,4,2,2,2,3,2,2,2,2,2,1,3,2,2,3,0
OG0003513,2494,1,1,1,2,1,4,3,4,3,4,1,2,1,2,2,0
OG0003514,2495,1,2,2,2,2,3,3,3,2,3,2,1,1,2,1,3
OG0003515,2496,3,2,2,2,3,3,2,2,2,2,2,0,2,2,1,2
OG0003516,2497,3,2,2,2,3,2,1,1,2,1,1,3,1,2,3,2
OG0003517,2498,3,3,3,3,4,4,1,1,1,1,4,0,0,0,0,0
OG0003518,2499,2,2,5,1,2,2,2,2,3,2,2,1,2,1,2,2
OG0003519,2500,2,2,2,2,3,2,2,2,2,3,2,1,2,2,2,3
OG0003520,2501,1,1,1,1,1,2,2,2,2,2,3,1,1,1,1,2
OG0003522,2502,2,2,2,2,3,2,2,1,2,2,2,2,1,2,2,2
OG0003523,2503,2,2,2,2,1,2,3,2,3,3,3,1,1,2,2,2
OG0003524,2504,3,2,2,2,3,3,2,2,2,2,3,1,1,1,1,2
OG0003525,2505,2,2,3,2,2,2,2,3,1,2,2,1,3,2,1,4
OG0003526,2506,1,1,1,1,1,2,0,1,1,1,1,7,1,1,4,1
OG0003527,2507,3,1,1,1,2,2,2,2,2,2,4,1,3,3,3,2
OG0003528,2508,2,2,2,2,2,3,1,1,1,1,5,1,2,1,1,2
OG0003529,2509,2,2,2,3,2,3,2,2,1,2,2,2,1,4,1,2
OG0003530,2510,3,2,3,3,4,4,1,1,1,1,5,1,0,1,2,2
OG0003531,2511,3,2,2,1,2,4,3,2,2,2,2,1,1,1,1,4
OG0003532,2512,1,1,1,1,2,1,1,1,1,1,1,1,8,2,1,0
OG0003533,2513,2,2,2,2,2,5,2,3,1,2,2,1,1,1,1,3
OG0003534,2514,1,2,2,2,3,3,3,1,3,3,4,2,1,2,1,1
OG0003535,2515,1,1,1,1,2,2,2,2,2,2,5,2,2,2,3,0
OG0003536,2516,3,2,1,2,3,2,2,1,2,2,2,1,1,4,1,3
OG0003537,2517,2,2,2,2,3,2,2,2,1,1,3,1,2,4,3,2
OG0003538,2518,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
OG0003539,2519,2,3,2,1,2,3,2,2,2,1,1,3,1,3,3,0
OG0003540,2520,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,0
OG0003541,2521,2,2,1,1,2,2,2,1,2,3,3,2,0,2,1,0
OG0003542,2522,2,1,2,1,2,2,1,2,1,1,1,3,1,4,3,4
OG0003543,2523,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
OG0003544,2524,2,2,2,2,3,2,3,2,3,3,1,2,1,2,2,2
OG0003545,2525,1,1,1,1,2,3,2,2,2,2,3,2,2,6,3,0
OG0003546,2526,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,1
OG0003547,2527,1,1,2,1,2,1,1,1,1,1,1,4,1,1,1,2
OG0003548,2528,2,2,2,2,3,5,3,3,3,3,4,0,0,2,0,0
OG0003549,2529,3,2,2,2,3,4,3,3,3,3,2,0,0,2,0,2
OG0003550,2530,2,2,2,2,2,2,2,2,2,1,3,2,2,3,2,2
OG0003551,2531,1,2,1,1,2,2,1,1,1,1,3,5,2,3,4,2
OG0003552,2532,2,2,1,2,2,3,2,3,3,3,1,1,1,4,2,2
OG0003553,2533,1,1,1,1,1,1,1,1,1,2,1,9,1,1,2,2
OG0003554,2534,3,1,1,1,3,3,3,2,2,2,3,3,2,2,1,1
OG0003555,2535,2,2,2,2,2,4,2,2,2,2,3,1,2,1,1,3
OG0003556,2536,2,2,1,2,2,4,2,2,3,2,3,0,1,1,1,1
OG0003557,2537,1,1,1,1,2,2,2,2,2,2,3,1,1,2,2,3
OG0003558,2538,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1
OG0003559,2539,2,2,2,2,3,4,3,3,3,3,3,1,1,1,1,0
OG0003560,2540,4,3,2,2,3,3,1,1,1,1,3,1,1,2,3,2
OG0003561,2541,1,2,1,1,0,6,2,3,2,0,0,6,0,10,0,0
OG0003562,2542,2,2,2,2,2,2,1,1,1,1,3,1,3,1,1,2
OG0003563,2543,1,1,1,1,2,1,2,1,1,1,1,1,1,2,3,2
OG0003564,2544,1,1,1,1,2,3,1,1,1,1,2,1,5,0,1,7
OG0003565,2545,2,2,3,2,3,3,2,2,4,4,1,0,0,1,1,0
OG0003566,2546,1,1,1,1,1,4,1,2,1,1,1,6,2,3,1,4
OG0003567,2547,1,1,1,2,1,2,1,2,2,2,2,1,3,2,2,2
OG0003568,2548,2,3,2,1,1,1,1,1,2,1,5,2,3,3,2,1
OG0003569,2549,2,1,1,1,1,2,2,1,3,2,2,3,4,3,4,2
OG0003570,2550,2,2,2,2,3,2,2,2,2,2,1,1,2,3,2,3
OG0003571,2551,1,1,1,1,3,3,1,1,1,1,1,1,1,3,4,1
OG0003572,2552,1,1,1,1,2,3,3,2,2,3,3,3,4,1,1,2
OG0003574,2553,2,1,1,1,1,2,2,2,2,2,3,4,3,2,2,3
OG0003575,2554,1,1,2,2,2,2,2,2,2,2,3,1,1,1,1,2
OG0003576,2555,2,1,1,1,2,2,2,5,3,4,11,0,0,0,0,0
OG0003577,2556,2,2,1,1,2,2,3,3,4,5,2,1,1,2,1,2
OG0003578,2557,2,1,1,1,2,2,3,3,2,2,5,2,2,2,2,2
OG0003579,2558,1,1,1,1,1,1,1,1,1,1,1,1,0,1,14,1
OG0003581,2559,1,1,1,1,1,2,2,1,2,2,2,1,2,3,1,2
OG0003582,2560,2,1,1,1,1,2,1,1,2,1,1,6,4,3,4,1
OG0003583,2561,2,1,1,1,2,2,0,0,0,0,0,2,2,3,2,1
OG0003584,2562,2,2,2,1,4,4,1,3,2,2,4,1,1,1,1,3
OG0003585,2563,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,2
OG0003586,2564,1,2,1,1,2,2,3,3,2,2,3,4,0,2,2,0
OG0003587,2565,1,1,1,1,1,1,1,1,2,1,1,12,1,1,1,2
OG0003588,2566,2,2,2,2,3,2,2,2,2,1,4,1,1,1,3,3
OG0003589,2567,2,2,2,1,2,3,2,2,2,2,3,1,4,1,2,2
OG0003590,2568,2,1,2,1,2,2,1,2,1,1,4,2,3,3,3,4
OG0003591,2569,2,2,2,2,3,4,2,1,2,2,3,1,5,1,1,0
OG0003592,2570,1,2,1,2,2,2,1,1,1,1,5,1,2,5,4,3
OG0003593,2571,1,1,2,2,3,3,1,2,2,2,2,1,1,3,1,2
OG0003594,2572,1,1,1,1,2,1,2,1,2,3,1,5,3,1,4,1
OG0003595,2573,3,2,3,2,3,4,2,2,1,2,6,1,0,1,0,2
OG0003596,2574,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1
OG0003597,2575,1,1,1,1,2,2,1,1,1,1,3,1,3,3,2,3
OG0003598,2576,1,1,0,1,3,1,2,2,2,2,2,1,2,2,2,2
OG0003599,2577,1,1,1,1,2,1,2,2,2,2,4,1,1,2,5,0
OG0003600,2578,1,1,1,2,3,1,2,2,2,2,5,2,1,1,0,3
OG0003601,2579,0,1,1,1,1,2,1,1,1,1,1,1,5,1,1,1
OG0003604,2580,0,1,1,1,1,2,1,1,2,2,0,4,4,3,4,1
OG0003606,2581,0,2,1,2,2,2,2,2,2,2,3,2,1,1,1,1
OG0003607,2582,0,2,3,2,4,7,3,5,3,2,1,0,0,0,0,0
OG0003608,2583,0,1,4,1,3,5,1,1,1,1,1,2,1,4,5,2
OG0003621,2584,2,1,3,2,4,4,1,1,1,1,2,3,2,2,2,0
OG0003623,2585,2,2,2,2,2,5,2,2,2,3,2,1,1,2,2,1
OG0003624,2586,3,2,2,2,3,4,1,2,1,1,2,3,1,1,0,4
OG0003625,2587,1,1,1,1,3,1,0,0,0,0,1,1,3,3,2,2
OG0003627,2588,2,2,2,2,2,2,1,0,1,1,1,4,3,5,3,2
OG0003628,2589,1,2,2,2,4,4,1,1,1,1,7,0,2,3,0,0
OG0003629,2590,4,1,1,1,2,1,4,1,1,2,3,1,1,1,1,2
OG0003630,2591,2,2,2,2,2,2,2,3,2,2,5,0,0,1,1,2
OG0003631,2592,1,2,1,3,2,3,1,1,1,0,4,3,3,4,2,0
OG0003632,2593,3,2,1,2,3,3,3,2,2,2,3,1,1,1,1,2
OG0003633,2594,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,0
OG0003634,2595,2,1,1,1,2,3,3,3,3,3,7,1,1,1,1,0
OG0003635,2596,2,2,2,2,2,2,4,3,2,3,1,2,0,1,0,0
OG0003636,2597,2,1,1,1,2,2,1,2,2,2,4,3,3,6,0,1
OG0003637,2598,2,1,2,1,1,2,2,2,3,2,3,2,0,1,2,1
OG0003638,2599,3,2,2,2,2,3,1,2,2,2,2,1,1,1,1,1
OG0003639,2600,3,3,2,3,2,3,4,4,4,4,1,0,0,0,0,0
OG0003640,2601,3,1,2,1,2,1,1,1,1,1,2,3,2,4,2,2
OG0003641,2602,1,1,2,1,2,4,3,3,4,3,2,1,1,0,1,0
OG0003642,2603,2,2,2,2,2,3,0,2,2,2,2,1,2,2,2,2
OG0003643,2604,3,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2
OG0003644,2605,2,1,1,1,1,5,1,1,1,1,1,3,0,8,1,0
OG0003645,2606,2,3,5,2,3,1,1,1,1,1,2,3,2,2,2,1
OG0003646,2607,2,2,2,2,4,3,3,2,4,3,6,0,0,0,0,0
OG0003647,2608,3,1,1,1,2,2,2,2,2,2,4,1,2,1,2,4
OG0003648,2609,2,2,1,2,3,2,3,3,3,3,5,1,1,1,1,0
OG0003649,2610,2,1,1,2,1,2,1,1,1,1,1,1,1,4,3,1
OG0003650,2611,2,1,1,1,2,2,1,2,1,1,1,1,3,2,1,2
OG0003651,2612,1,1,3,2,1,2,3,2,3,2,3,1,1,1,1,2
OG0003652,2613,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,4
OG0003653,2614,2,1,1,1,1,2,4,3,3,3,2,2,0,6,1,0
OG0003654,2615,3,2,1,2,4,1,2,2,2,2,3,2,1,2,1,2
OG0003655,2616,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1
OG0003656,2617,2,2,2,2,2,3,2,2,3,2,2,0,0,1,1,3
OG0003657,2618,2,2,2,2,3,3,2,2,2,2,1,2,0,1,1,2
OG0003658,2619,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1
OG0003659,2620,3,1,1,1,3,2,2,2,2,2,3,1,1,2,1,0
OG0003660,2621,1,1,1,1,2,2,1,1,1,2,2,1,0,2,1,2
OG0003661,2622,2,2,3,1,2,1,2,2,2,5,1,2,1,2,1,1
OG0003662,2623,1,2,1,2,3,4,2,2,2,3,2,0,2,2,1,1
OG0003663,2624,3,1,1,2,3,2,1,1,1,1,2,1,1,5,1,1
OG0003664,2625,3,2,1,1,2,2,2,2,2,2,3,2,1,4,2,2
OG0003665,2626,2,2,2,1,2,5,2,2,3,2,3,2,1,1,1,2
OG0003666,2627,2,1,1,1,2,2,3,3,3,3,2,1,1,1,1,3
OG0003667,2628,2,2,2,2,3,3,1,1,1,1,5,2,4,2,2,0
OG0003668,2629,2,2,2,2,2,3,2,2,2,2,4,2,3,2,1,0
OG0003669,2630,2,2,2,1,2,2,1,2,2,2,2,1,2,5,1,2
OG0003670,2631,1,2,2,1,3,4,2,1,2,2,6,1,1,2,1,2
OG0003671,2632,1,1,1,1,1,1,1,1,1,1,2,4,2,3,1,3
OG0003672,2633,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3
OG0003673,2634,1,1,1,1,1,2,1,1,1,1,1,4,4,3,4,0
OG0003674,2635,2,2,1,2,2,4,1,2,2,1,2,1,1,1,5,2
OG0003675,2636,2,3,2,3,4,4,3,4,3,1,4,0,0,0,0,0
OG0003676,2637,4,2,2,2,4,3,1,1,1,1,2,1,1,4,1,2
OG0003677,2638,2,2,2,1,2,3,1,1,1,1,2,1,2,2,1,2
OG0003679,2639,3,2,2,2,1,1,3,3,3,3,2,0,0,4,1,1
OG0003680,2640,3,1,2,3,3,4,1,1,1,1,0,6,0,3,0,0
OG0003681,2641,1,2,1,2,3,2,1,1,1,1,2,3,1,3,3,1
OG0003682,2642,1,2,1,1,1,2,1,1,1,1,2,10,3,2,1,1
OG0003683,2643,1,1,1,1,1,2,1,1,2,1,2,7,6,1,1,3
OG0003684,2644,2,1,1,2,1,1,1,1,2,1,3,2,1,1,1,1
OG0003685,2645,4,1,1,1,1,1,4,3,5,6,1,0,1,3,1,0
OG0003686,2646,2,1,2,1,2,3,2,2,2,2,5,1,2,3,0,3
OG0003687,2647,2,2,2,1,3,3,2,2,3,1,1,2,2,4,1,1
OG0003688,2648,3,2,2,2,2,3,3,2,2,2,4,1,1,1,1,2
OG0003689,2649,1,1,5,2,1,3,1,1,1,1,1,2,1,1,1,3
OG0003690,2650,3,1,1,1,2,2,2,2,3,3,4,1,2,1,1,2
OG0003691,2651,4,1,1,1,1,2,3,3,4,3,2,2,1,1,1,2
OG0003692,2652,2,2,2,2,3,4,2,2,2,2,3,1,1,0,1,2
OG0003693,2653,1,1,1,1,1,1,0,1,1,1,1,1,2,2,8,2
OG0003694,2654,1,1,1,2,3,2,2,2,2,2,3,1,2,3,2,3
OG0003695,2655,2,2,2,2,4,2,2,2,2,3,2,0,1,3,1,1
OG0003696,2656,2,2,2,2,4,2,1,3,3,3,2,2,2,2,1,0
OG0003697,2657,1,1,1,1,1,1,1,1,1,1,1,1,8,1,0,1
OG0003698,2658,2,2,2,2,3,3,2,3,2,2,3,0,2,1,2,2
OG0003699,2659,1,1,1,2,2,2,2,2,2,2,4,1,2,1,0,4
OG0003700,2660,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1
OG0003701,2661,2,1,1,1,2,2,2,2,2,2,3,2,2,2,2,3
OG0003702,2662,2,2,2,2,3,3,2,1,2,2,2,2,2,2,2,1
OG0003703,2663,1,1,2,1,2,2,1,1,1,1,2,1,13,1,1,2
OG0003704,2664,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,1
OG0003705,2665,1,2,1,1,1,2,2,3,2,2,1,6,2,1,1,0
OG0003706,2666,1,1,1,1,2,2,1,1,1,1,1,7,2,2,2,1
OG0003707,2667,2,2,1,1,2,2,3,2,2,3,3,1,1,1,1,4
OG0003708,2668,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,1
OG0003709,2669,2,3,2,3,3,5,2,2,2,2,2,0,0,1,0,2
OG0003710,2670,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,1
OG0003711,2671,2,1,1,1,2,1,1,2,2,2,2,2,1,3,1,1
OG0003712,2672,1,1,1,1,1,2,1,1,1,1,1,1,2,3,6,2
OG0003713,2673,1,1,1,1,2,2,1,1,1,1,2,3,2,3,1,2
OG0003714,2674,1,2,2,1,2,2,2,2,2,2,4,0,0,5,1,3
OG0003715,2675,7,5,6,3,1,1,1,1,1,4,2,0,0,0,0,0
OG0003716,2676,1,1,2,1,2,1,2,2,2,3,2,2,4,2,2,2
OG0003717,2677,4,2,1,2,3,5,3,2,3,3,4,0,0,1,0,0
OG0003718,2678,2,3,2,3,5,3,1,1,1,1,2,2,1,2,1,1
OG0003719,2679,2,2,2,2,4,3,2,1,1,1,3,1,1,1,1,4
OG0003720,2680,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
OG0003721,2681,1,1,1,1,2,1,3,1,1,1,1,1,5,1,1,2
OG0003722,2682,1,5,3,1,1,2,1,1,2,1,2,1,3,1,2,1
OG0003723,2683,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2
OG0003724,2684,2,2,2,1,2,3,3,1,1,1,4,2,2,3,2,1
OG0003725,2685,1,1,1,1,2,2,2,2,2,3,1,3,2,4,3,1
OG0003726,2686,2,2,2,2,3,3,2,2,2,2,2,1,1,1,1,2
OG0003727,2687,8,3,6,1,1,2,2,2,3,2,1,0,0,0,0,0
OG0003728,2688,1,1,1,1,1,3,1,1,1,1,1,4,1,1,11,1
OG0003729,2689,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,0
OG0003730,2690,1,1,1,1,2,2,1,2,2,2,3,2,3,2,3,2
OG0003731,2691,1,1,1,1,2,1,1,1,1,1,2,4,3,2,2,1
OG0003732,2692,1,2,0,1,1,0,0,0,0,1,1,3,4,1,1,1
OG0003733,2693,3,3,1,1,1,1,1,1,2,2,1,1,2,5,1,1
OG0003734,2694,1,1,1,1,1,2,1,1,1,0,1,2,3,2,2,11
OG0003735,2695,1,1,1,1,1,2,3,2,4,4,1,1,5,1,2,2
OG0003736,2696,2,1,1,2,4,4,2,2,2,0,2,2,2,2,2,2
OG0003737,2697,2,1,1,2,1,1,3,2,3,4,1,0,0,1,0,2
OG0003738,2698,1,1,1,1,2,1,0,1,1,1,2,1,2,3,4,2
OG0003739,2699,2,2,3,2,2,4,1,5,2,1,1,1,2,4,0,1
OG0003740,2700,2,1,1,2,1,1,1,1,1,1,1,3,1,6,5,2
OG0003741,2701,2,1,2,2,2,3,2,2,2,2,2,1,0,2,0,2
OG0003742,2702,2,1,1,1,2,2,1,1,1,1,2,3,3,1,1,0
OG0003743,2703,1,1,1,7,1,1,1,2,1,1,1,2,4,3,1,1
OG0003744,2704,1,2,3,2,2,4,2,2,2,2,4,1,1,2,0,2
OG0003746,2705,0,1,2,1,1,2,4,5,2,3,1,2,3,1,2,2
OG0003747,2706,0,3,2,3,4,4,3,3,3,3,4,0,0,0,0,0
OG0003765,2707,4,0,1,2,1,3,1,2,1,2,1,0,1,1,3,0
OG0003767,2708,2,2,2,2,2,4,1,1,1,1,4,1,2,2,2,1
OG0003768,2709,2,2,1,2,2,3,2,2,2,2,6,1,1,2,1,1
OG0003769,2710,2,1,2,2,3,3,1,1,1,1,2,1,1,2,1,5
OG0003770,2711,2,2,2,2,2,3,2,2,2,2,3,0,1,3,2,1
OG0003771,2712,2,1,1,2,4,3,1,1,2,2,1,2,1,1,1,1
OG0003772,2713,3,1,1,1,1,2,1,3,1,1,1,0,0,4,6,1
OG0003773,2714,4,1,1,1,2,2,2,2,2,2,3,1,2,2,2,3
OG0003774,2715,2,2,2,1,3,3,1,1,1,1,1,1,8,2,1,2
OG0003775,2716,2,2,1,2,4,3,1,2,2,1,10,0,0,0,0,0
OG0003776,2717,2,1,1,1,1,2,2,1,1,2,2,3,2,1,2,3
OG0003777,2718,2,2,2,2,2,3,2,2,2,2,2,1,1,3,1,2
OG0003778,2719,2,2,2,2,3,4,2,1,2,2,3,1,1,1,1,2
OG0003779,2720,2,1,3,1,1,1,1,1,1,1,1,4,3,4,2,2
OG0003780,2721,2,1,1,1,1,3,2,2,1,2,4,1,2,4,0,4
OG0003781,2722,1,2,2,2,5,3,1,1,1,1,3,2,2,3,2,1
OG0003782,2723,3,3,3,3,3,5,2,2,2,2,3,0,1,0,0,0
OG0003783,2724,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2
OG0003784,2725,3,2,2,2,2,2,2,2,2,1,2,2,3,3,2,0
OG0003785,2726,2,1,2,1,2,2,2,2,2,2,3,1,2,2,2,4
OG0003786,2727,2,1,2,2,3,4,3,4,3,3,2,0,0,0,0,0
OG0003787,2728,3,1,1,1,2,2,0,3,2,3,4,2,2,2,2,2
OG0003788,2729,2,1,1,1,2,2,2,2,2,2,2,1,1,4,1,4
OG0003789,2730,1,1,1,1,2,1,2,2,2,3,2,5,2,1,1,2
OG0003790,2731,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
OG0003791,2732,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,0
OG0003792,2733,3,3,3,3,4,4,1,1,2,2,4,0,0,0,0,0
OG0003793,2734,2,2,1,2,3,3,1,1,1,1,2,1,2,1,3,2
OG0003794,2735,1,1,1,1,2,2,3,3,3,3,4,1,1,1,1,2
OG0003795,2736,2,2,2,2,3,3,1,1,1,1,5,1,1,1,0,4
OG0003796,2737,3,2,2,2,3,4,2,2,1,2,3,1,1,1,1,2
OG0003797,2738,2,2,2,2,3,4,2,1,2,2,4,0,1,2,1,2
OG0003798,2739,2,2,3,2,1,2,2,2,1,1,2,2,1,3,1,3
OG0003799,2740,2,2,2,3,4,4,3,2,2,2,5,0,0,0,0,0
OG0003800,2741,2,2,1,2,3,1,2,2,2,1,3,1,2,3,1,4
OG0003801,2742,1,1,1,1,1,2,2,2,1,1,2,10,0,4,0,1
OG0003802,2743,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,3
OG0003803,2744,2,1,1,1,2,2,2,2,2,2,1,2,2,4,2,3
OG0003804,2745,2,2,2,2,2,3,1,1,1,1,2,5,3,1,1,2
OG0003805,2746,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1
OG0003806,2747,2,1,1,1,1,2,2,2,2,2,3,2,2,2,1,3
OG0003807,2748,2,2,2,2,2,5,2,2,2,2,2,1,2,1,0,2
OG0003808,2749,2,2,2,2,2,2,1,1,1,1,3,0,3,3,2,4
OG0003809,2750,2,2,2,2,1,3,2,2,2,2,3,1,2,1,1,2
OG0003811,2751,3,2,2,2,4,4,1,2,2,2,3,0,1,1,1,2
OG0003812,2752,1,1,1,1,1,2,1,1,1,1,3,2,2,1,2,0
OG0003813,2753,5,2,2,1,4,3,3,3,3,3,2,0,0,0,0,0
OG0003814,2754,2,2,2,2,2,3,2,2,2,2,2,1,1,2,1,3
OG0003815,2755,2,1,1,1,4,2,4,3,3,3,3,1,1,1,1,1
OG0003816,2756,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1
OG0003817,2757,4,2,2,2,2,5,1,1,1,1,8,1,1,1,0,0
OG0003818,2758,1,2,2,2,2,2,4,3,2,2,1,2,1,1,3,2
OG0003819,2759,2,1,2,2,3,3,1,1,1,1,2,1,2,2,1,4
OG0003820,2760,3,2,1,2,2,1,2,2,3,2,3,1,1,1,1,1
OG0003821,2761,2,1,1,1,2,1,1,2,2,2,1,8,0,2,1,2
OG0003822,2762,1,1,1,1,1,3,1,1,1,1,2,2,2,2,4,1
OG0003823,2763,2,1,1,2,3,3,3,2,2,2,2,1,2,1,1,2
OG0003824,2764,2,2,2,2,1,4,2,2,2,2,2,2,1,2,1,3
OG0003825,2765,2,2,2,2,3,3,1,1,1,1,1,3,3,3,2,2
OG0003826,2766,3,2,2,2,2,3,2,2,2,2,2,1,2,1,1,0
OG0003827,2767,2,1,2,3,2,2,1,1,1,2,2,1,0,1,2,1
OG0003828,2768,2,2,2,2,3,2,1,2,2,2,2,1,1,1,1,2
OG0003829,2769,3,1,1,1,2,1,2,2,5,4,3,1,2,0,1,3
OG0003830,2770,3,1,1,1,2,3,1,2,1,2,2,1,2,3,3,3
OG0003831,2771,2,1,1,2,4,3,2,2,3,2,2,3,0,2,0,2
OG0003832,2772,2,2,2,2,2,2,3,2,3,3,2,1,1,1,1,3
